Year,%,,,,,,,
1995,18.00%,,,,,,,
1996,22.00%,,,,,,,
1997,27.00%,,,,,,,
1998,32.00%,,,,,,,
1999,39.00%,,,,,,,
2000,45.00%,,,,,,,
2001,50.00%,,,,,,,
2002,55.00%,,,,,,,
2003,62.00%,,,,,,,
2004,72.00%,,,,,,,
2005,81.00%,,,,,,,
2006,88.00%,,,,,,,
2007,93.00%,,,,,,,
2008,95.00%,,,,,,,
2009,96.50%,,,,,,,
2010,96.80%,,,,,,,
2011,97.40%,,,,,,,
2012,98.04%,,,,,,,
2013,98.51%,,,,,,,
2014,98.95%,,,,,,,
2015,99.15%,,,,,,,
2016,99.43%,,,,,,,
2017,99.95%,,,,,,,
2018,99.64%,,,,,,,
2019,99.72%,,,,,,,
2020,99.78%,,,,,,,
2021,99.83%,,,,,,,
2022,99.86%,,,,,,,
2023,99.88%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
