energy,Value,Year,Units
Imports,475154,2000,TJ
Imports,531729,2001,TJ
Imports,496201,2002,TJ
Imports,487984,2003,TJ
Imports,545173,2004,TJ
Imports,592370,2005,TJ
Imports,595985,2006,TJ
Imports,647003,2007,TJ
Imports,628423,2008,TJ
Imports,662152,2009,TJ
Imports,714584,2010,TJ
Imports,773153,2011,TJ
Imports,858464,2012,TJ
Imports,840237,2013,TJ
Imports,868678,2014,TJ
Imports,804286,2015,TJ
Imports,777807,2016,TJ
Imports,815991,2017,TJ
Imports,835178,2018,TJ
Imports,866316,2019,TJ
Imports,802323,2020,TJ
Imports,873830,2021,TJ
Imports,887584,2022,TJ
Exports,-59311,2000,TJ
Exports,-68092,2001,TJ
Exports,-57972,2002,TJ
Exports,-35554,2003,TJ
Exports,-60318,2004,TJ
Exports,-57394,2005,TJ
Exports,-47727,2006,TJ
Exports,-52476,2007,TJ
Exports,-26049,2008,TJ
Exports,-28401,2009,TJ
Exports,-28570,2010,TJ
Exports,-37555,2011,TJ
Exports,-47165,2012,TJ
Exports,-58741,2013,TJ
Exports,-50845,2014,TJ
Exports,-20019,2015,TJ
Exports,-1015,2016,TJ
Exports,-581,2017,TJ
Exports,-1258,2018,TJ
Exports,-5232,2019,TJ
Exports,-2244,2020,TJ
Exports,-3064,2021,TJ
Exports,-1694,2022,TJ
