total final consumption in Morocco,Value,Year,Units
Coal,22134,2000, TJ
Coal,25698,2001, TJ
Coal,25146,2002, TJ
Coal,14341,2003, TJ
Coal,1022,2004, TJ
Coal,1022,2005, TJ
Coal,1022,2006, TJ
Coal,1022,2007, TJ
Coal,1657,2008, TJ
Coal,635,2009, TJ
Coal,884,2010, TJ
Coal,828,2011, TJ
Coal,414,2012, TJ
Coal,580,2013, TJ
Coal,746,2014, TJ
Coal,746,2015, TJ
Coal,746,2016, TJ
Coal,756,2017, TJ
Coal,828,2018, TJ
Coal,828,2019, TJ
Coal,672,2020, TJ
Coal,718,2021, TJ
Coal,653,2022, TJ
Oil products,237801,2000, TJ
Oil products,243600,2001, TJ
Oil products,246880,2002, TJ
Oil products,254051,2003, TJ
Oil products,302967,2004, TJ
Oil products,316442,2005, TJ
Oil products,327752,2006, TJ
Oil products,345895,2007, TJ
Oil products,374493,2008, TJ
Oil products,394862,2009, TJ
Oil products,403928,2010, TJ
Oil products,431409,2011, TJ
Oil products,437218,2012, TJ
Oil products,449607,2013, TJ
Oil products,443069,2014, TJ
Oil products,463347,2015, TJ
Oil products,470815,2016, TJ
Oil products,497153,2017, TJ
Oil products,503976,2018, TJ
Oil products,522823,2019, TJ
Oil products,480583,2020, TJ
Oil products,524578,2021, TJ
Oil products,497702,2022, TJ
Natural gas,1591,2000, TJ
Natural gas,1574,2001, TJ
Natural gas,1523,2002, TJ
Natural gas,1469,2003, TJ
Natural gas,2135,2004, TJ
Natural gas,1419,2005, TJ
Natural gas,2082,2006, TJ
Natural gas,2243,2007, TJ
Natural gas,1845,2008, TJ
Natural gas,1531,2009, TJ
Natural gas,1880,2010, TJ
Natural gas,2117,2011, TJ
Natural gas,2826,2012, TJ
Natural gas,1919,2013, TJ
Natural gas,3541,2014, TJ
Natural gas,2787,2015, TJ
Natural gas,2552,2016, TJ
Natural gas,2583,2017, TJ
Natural gas,2761,2018, TJ
Natural gas,3084,2019, TJ
Natural gas,3116,2020, TJ
Natural gas,3450,2021, TJ
Natural gas,2397,2022, TJ
"Geothermal, solar, wind etc",,2000, TJ
"Geothermal, solar, wind etc",,2001, TJ
"Geothermal, solar, wind etc",,2002, TJ
"Geothermal, solar, wind etc",,2003, TJ
"Geothermal, solar, wind etc",,2004, TJ
"Geothermal, solar, wind etc",,2005, TJ
"Geothermal, solar, wind etc",,2006, TJ
"Geothermal, solar, wind etc",,2007, TJ
"Geothermal, solar, wind etc",,2008, TJ
"Geothermal, solar, wind etc",,2009, TJ
"Geothermal, solar, wind etc",,2010, TJ
"Geothermal, solar, wind etc",,2011, TJ
"Geothermal, solar, wind etc",,2012, TJ
"Geothermal, solar, wind etc",,2013, TJ
"Geothermal, solar, wind etc",,2014, TJ
"Geothermal, solar, wind etc",,2015, TJ
"Geothermal, solar, wind etc",,2016, TJ
"Geothermal, solar, wind etc",,2017, TJ
"Geothermal, solar, wind etc",,2018, TJ
"Geothermal, solar, wind etc",,2019, TJ
"Geothermal, solar, wind etc",,2020, TJ
"Geothermal, solar, wind etc",3035,2021, TJ
"Geothermal, solar, wind etc",3141,2022, TJ
Electricity,46216,2000, TJ
Electricity,48427,2001, TJ
Electricity,50706,2002, TJ
Electricity,54770,2003, TJ
Electricity,59076,2004, TJ
Electricity,63733,2005, TJ
Electricity,69278,2006, TJ
Electricity,73358,2007, TJ
Electricity,77748,2008, TJ
Electricity,80382,2009, TJ
Electricity,85060,2010, TJ
Electricity,91814,2011, TJ
Electricity,98448,2012, TJ
Electricity,100922,2013, TJ
Electricity,105317,2014, TJ
Electricity,107780,2015, TJ
Electricity,111826,2016, TJ
Electricity,116829,2017, TJ
Electricity,117482,2018, TJ
Electricity,120516,2019, TJ
Electricity,118450,2020, TJ
Electricity,124341,2021, TJ
Electricity,129666,2022, TJ
Biofuels and waste,49936,2000, TJ
Biofuels and waste,50464,2001, TJ
Biofuels and waste,50953,2002, TJ
Biofuels and waste,51458,2003, TJ
Biofuels and waste,95388,2004, TJ
Biofuels and waste,89538,2005, TJ
Biofuels and waste,83134,2006, TJ
Biofuels and waste,77527,2007, TJ
Biofuels and waste,71509,2008, TJ
Biofuels and waste,64579,2009, TJ
Biofuels and waste,62156,2010, TJ
Biofuels and waste,60253,2011, TJ
Biofuels and waste,58218,2012, TJ
Biofuels and waste,56710,2013, TJ
Biofuels and waste,55940,2014, TJ
Biofuels and waste,55991,2015, TJ
Biofuels and waste,55217,2016, TJ
Biofuels and waste,54576,2017, TJ
Biofuels and waste,53115,2018, TJ
Biofuels and waste,52429,2019, TJ
Biofuels and waste,51676,2020, TJ
Biofuels and waste,51658,2021, TJ
Biofuels and waste,51321,2022, TJ
