year,GDP (current US$)
1975,1.77
1976,1.42
1977,1.79
1978,2.12
1979,2.51
1980,5.39
1981,4.02
1982,4.16
1983,3.56
1984,3.75
1985,3.79
1986,5.16
1987,5.64
1988,6.94
1989,7.3
1990,9.19
1991,8.45
1992,8.96
1993,7.88
1994,8.46
1995,8.53
1996,10.61
1997,9.69
1998,16.2
1999,15.25
2000,13.95
2001,16.91
2002,17.87
2003,22.76
2004,26.02
2005,26.7
2006,30.3
2007,34.73
2008,40.92
2009,35.92
2010,35.35
2011,37.16
2012,33.49
2013,37.78
2014,30.16
2015,31.2
2016,31.54
2017,33.89
2018,34.79
2019,36.11
2020,33.61
2021,40.29
2022,35.02
2023,40.78
