name,Vnom,longitude,latitude
Substation 60 kV M'Fassis 1,60,-6.83854,32.76654
Substation 60 kV M'Fassis 2,60,-6.82767,32.76742
Substation 60 kV M'Fassis 3,60,-6.79391,32.77604
Substation Bni Smir 60 kV Oued Zem,60,-6.6422,32.86697
Substation UM6P 60 kV Sale,60,-6.70439,33.99326
Substation 60kV Tantan,60,-11.0721,28.43424
Substation Ahlaka 60/22 kV Agadir,60,-9.51524,30.41369
Substation 60 kV Kasba Tadla,60,-6.26833,32.572384
Substation 400kV de Melloussa,400,-5.65986,35.64892
Substation 60 kV de Tensift II,60,-8.17622,31.717916
Substation 225 kV de Tensift II,225,-8.17671,31.71933
Substation 60 KV de Toulal,60,-5.62276,33.876851
Substation 225 KV de Toulal,225,-5.6225,33.874713
Substation 60 KV de Chichaoua,60,-8.71776,31.563538
Substation 225 KV de Chichaoua,225,-8.71776,31.56354
Substation 400 KV de Chichaoua,400,-8.7187888,31.566129
Substation 60 Kv Guelmim,60,-10.0382,29.012411
Substation Ghanem 60 KV,60,-8.51088,33.102173
Substation Ghanem 225 KV,225,-8.51088,33.10217
Substation Source Aouama 60 KV,60,-5.80204,35.732945
Substation Source Aouama 225 KV,225,-5.80204,35.73295
Charaka,60,-5.91694,35.66837
Substation 60kV Laawamer,60,-7.75919,33.3538077
Substation 225 kV Laawamer,225,-7.75877,33.35161
Substation 225 kV de Dar Boauzza,225,-7.69673,33.55018
Substation 225 kV Shoul,225,-6.70955,33.919195
Substation 60 kV Shoul,60,-6.70955,33.9192
Substation 60 kV Zaer,60,-6.86262,33.862136
Substation 225 kV Zaer,225,-6.86141,33.861494
Substation 225/20 KV Riad,225,-6.88753,33.93349
Substation 400 kV Mediouna,400,-7.40123,33.45482
Substation 225kV Mediouna,225,-7.40123,33.454822
Substation 225 kv Sidi Othmane,225,-7.5265,33.5628
Substation 60 KV Khouribga II,60,-7.05101,32.89551
Substation 225 KV Khouribga II,225,-7.05101,32.895514
Substation 225 KV Chiker,60,-7.72593,32.6160694
Substation 60 KV Chiker,225,-7.72593,32.61607
Substation 225/60 kV de Sidi Bennour,225,-8.40059,32.65114
Sidi Benour 60,60,-8.40178,32.65121
Substation Sonasid,225,-8.60359,33.13346
Substation 225 kV de Oulad Haddou,225,-7.61584,33.54076
Substation 225 KV de Douyet,225,-5.12811,34.0150179
Substation 60 KV de Douyet,60,-5.12811,34.01502
Zaer 1 Temara,60,-6.77704,33.93484
Substation 225/60/22 KV Oujda,225,-1.91965,34.70668
Substation de Bourdim 225kv,225,-2.37345,34.584231
Substation de Bourdim 60kv,60,-2.37164,34.585626
Substation de Bourdim 400kv,400,-2.37164,34.586857
Substation 60 KV Taza II,60,-3.95919,34.269513
Substation 225 KV Taza II,225,-3.95919,34.26951
Substation 60 kV de Settat,60,-7.56486,33.0246
Substation 225 kV de Settat,225,-7.56486,33.024603
Substation Tiznit II 60,60,-9.66677,29.70346
Substation Tiznit II 225,225,-9.66502,29.704727
Substation 60 KvTafersit,60,-3.53627,34.993263
Substation 225 kV El Ouali,225,-4.77894,33.986055
Substation 60 kV El Ouali,60,-4.77894,33.98606
Moulay Idriss Zerhoun 1 Fes 60KV,60,-5.64929,34.07206
Substation Saiss,60,-4.9482,33.97541
Substation 60 kv Chefchaoun,60,-5.31692,35.21599
Substation 225 kv Chefchaoun,225,-5.31785,35.215239
Substation Taferssit 60,60,-3.53539,34.99234
Douyet Fes 1,60,-5.2791,34.05315
Substation 60/22 kV Taza I,60,-4.01338,34.23531
Substation 60 kV Imzouren,60,-3.86866,35.124812
Substation 225 kV Imzouren,225,-3.86818,35.125262
Sous Station Holcim,60,-2.34915,34.59475
Substation Matmata 60kv,60,-4.54062,34.09461
Substation 225 kV Loukkos,225,-6.04737,35.04135
Substation 60 kV Loukkos,60,-6.04671,35.039169
Substation 400 kV de Oualili,400,-5.59582,34.09936
Substation 225kV de Oualili,225,-5.5963,34.096144
Saiss Fes,60,-5.00812,33.98851
Dghaliyéne Assilah,60,-6.02157,35.48561
Substation 60 KV Agadir,60,-9.456,30.39944
Substation 225 KV Agadir,225,-9.45343,30.399043
Substation 60 kV Tiflet,60,-6.3733,33.91101
Tin Hmid AGADIR,225,-9.15332,30.22355
Substation 225 kV Tazart,225,-7.34452,31.695947
Substation 60 kV Tazart,60,-7.34462,31.69755
Substation 225 KV GLALCHAL,225,-8.96347,30.45223
Substation 60 KV GLALCHAL,60,-8.96166,30.453601
Substation 60 kV d’Ait Melloul,60,-9.48893,30.35505
Substation 225 kV d’Ait Melloul,225,-9.48654,30.355074
Boutabi Tafraout 1 TIZNIT,60,-9.04429,29.66425
Substation 60 Kv Azrou,60,-5.23856,33.460237
AL Aroui,225,-2.97525,35.03097
Ain Harrouda,225,-7.42874,33.6353
Substation 60 KV Fki Ben Salah,60,-6.7204,32.4834
Substation 225 KV Fki Ben Salah,225,-6.72068,32.481667
Substation 60kv Tizgui,60,-6.58423,32.223032
Substation 150 kv Tizgui,150,-6.58245,32.22297
Substation 225 kv Tizgui,225,-6.58372,32.22166
Substation 60 kV M'rirt,60,-5.59217,33.169922
Substation 60kv de Benguerir,60,-7.95381,32.20637
Substation 225 kv de Benguerir,225,-7.95561,32.206935
Substation 400kV Chemaia,400,-8.76909,32.04166
Substation 225kV Chemaia,225,-8.76571,32.04083
Substation 60 kV d'Aknoul,60,-3.87125,34.67521
Hay Gtar Oujda,60,-1.98113,34.64643
Bni Tadjite Errachidia 60KV,60,-3.45742,32.30969
Substation 60 Kv de Bouanane,60,-3.02073,32.038242
Substation 60 Kv de Boudnib,60,-3.57401,31.95337
ER- Rich 60,60,-4.48407,32.272102
Substation 225 kV d’Errachidia,225,-4.48739,31.97114
Substation 60 kV d’Errachidia,60,-4.48885,31.970353
Substation 60 kV Zagora,60,-5.84561,30.37766
Missour,60,-4.05279,33.04164
poste usine réversible 2,225,-6.52983,32.20699
Substation Usine réversible I,225,-6.53419,32.19684
Substation haute tension/ Bni Ansar,60,-2.94528,35.26119
IzougerdTaourirt 60KV,60,-9.38571,29.301003
Substation near Oed Zem,60,-6.62639,32.66189
M Fassis 60 Khouribga,60,-6.74671,32.817434
M Fassis 225 Khouribga,225,-6.74625,32.81646
Substation 60 kV Ouarzazate,60,-6.79729,30.983024
Substation 225 kV Ouarzazate,225,-6.79753,30.98447
Substation 60 Kv de Bouarfa,60,-1.94118,32.557356
Issaguen North,60,-4.54996,34.91874
Substation Regraga,60,-6.00337,35.05888
Substation ONCF Rissania,60,-5.94513,35.22034
Substation 60 Kv de Ain Chair,60,-2.52264,32.21684
Substation Taounate,60,-4.71122,34.49058
Substation 225 KV de Khenifra,225,-5.67069,32.921992
