Years,Urban,Rural,Total,Urbanization rate %
1960,3?389?613,8?236?857,11?626?470,29.2
1971,5?409?725,9?969?534,15?379?259,35.2
1982,8?730?399,11?689?156,20?419?555,42.8
1994,13?407?835,12?665?882,26?073?717,51.4
2004,16?463?634,13?428?074,29?891?708,55.1
2014,20?432?439,13?415?803,33?848?242,60.4
2017,21561000,13291000,34852000,
2018,21968000,13251000,35220000,
2019,22376000,13211000,35587000,
2020,22783000,13169000,35952000,
2021,23189000,13124000,36313000,
2024,23?110?108,13?718?222,36?828?330,62.8
