total energy supply in Morocco,Value,Year,Units
Coal,110898,2000, TJ
Coal,140947,2001, TJ
Coal,144465,2002, TJ
Coal,135125,2003, TJ
Coal,128558,2004, TJ
Coal,131538,2005, TJ
Coal,136102,2006, TJ
Coal,131450,2007, TJ
Coal,123298,2008, TJ
Coal,113295,2009, TJ
Coal,116887,2010, TJ
Coal,126642,2011, TJ
Coal,126614,2012, TJ
Coal,123851,2013, TJ
Coal,169031,2014, TJ
Coal,186080,2015, TJ
Coal,179338,2016, TJ
Coal,186412,2017, TJ
Coal,215613,2018, TJ
Coal,279053,2019, TJ
Coal,280078,2020, TJ
Coal,293748,2021, TJ
Coal,297552,2022, TJ
Oil,286705,2000, TJ
Oil,285632,2001, TJ
Oil,290440,2002, TJ
Oil,294698,2003, TJ
Oil,343176,2004, TJ
Oil,371672,2005, TJ
Oil,375615,2006, TJ
Oil,397321,2007, TJ
Oil,436853,2008, TJ
Oil,449081,2009, TJ
Oil,482168,2010, TJ
Oil,526296,2011, TJ
Oil,524974,2012, TJ
Oil,524718,2013, TJ
Oil,492817,2014, TJ
Oil,496930,2015, TJ
Oil,500949,2016, TJ
Oil,530953,2017, TJ
Oil,515870,2018, TJ
Oil,529500,2019, TJ
Oil,485868,2020, TJ
Oil,538555,2021, TJ
Oil,543759,2022, TJ
Natural gas,1591,2000, TJ
Natural gas,1574,2001, TJ
Natural gas,1523,2002, TJ
Natural gas,1469,2003, TJ
Natural gas,2135,2004, TJ
Natural gas,15677,2005, TJ
Natural gas,19797,2006, TJ
Natural gas,22934,2007, TJ
Natural gas,19843,2008, TJ
Natural gas,21799,2009, TJ
Natural gas,23855,2010, TJ
Natural gas,30195,2011, TJ
Natural gas,44685,2012, TJ
Natural gas,43326,2013, TJ
Natural gas,42136,2014, TJ
Natural gas,42525,2015, TJ
Natural gas,43230,2016, TJ
Natural gas,42920,2017, TJ
Natural gas,38696,2018, TJ
Natural gas,36634,2019, TJ
Natural gas,28499,2020, TJ
Natural gas,28467,2021, TJ
Natural gas,8017,2022, TJ
"Geothermal, solar, wind, etc",230,2000, TJ
Geothermal,741,2001, TJ
Geothermal,698,2002, TJ
Geothermal,730,2003, TJ
Geothermal,716,2004, TJ
Geothermal,741,2005, TJ
Geothermal,658,2006, TJ
Geothermal,1004,2007, TJ
Geothermal,1072,2008, TJ
Geothermal,1407,2009, TJ
Geothermal,2372,2010, TJ
Geothermal,2491,2011, TJ
Geothermal,2620,2012, TJ
Geothermal,4881,2013, TJ
Geothermal,6926,2014, TJ
Geothermal,9119,2015, TJ
Geothermal,15170,2016, TJ
Geothermal,15446,2017, TJ
Geothermal,23131,2018, TJ
Geothermal,31366,2019, TJ
Geothermal,30263,2020, TJ
Geothermal,37370,2021, TJ
Geothermal,33946,2022, TJ
Hydro,2584,2000, TJ
Hydro,3135,2001, TJ
Hydro,3059,2002, TJ
Hydro,5241,2003, TJ
Hydro,5788,2004, TJ
Hydro,3524,2005, TJ
Hydro,3592,2006, TJ
Hydro,3293,2007, TJ
Hydro,3344,2008, TJ
Hydro,9244,2009, TJ
Hydro,12484,2010, TJ
Hydro,7221,2011, TJ
Hydro,5871,2012, TJ
Hydro,10026,2013, TJ
Hydro,5893,2014, TJ
Hydro,6785,2015, TJ
Hydro,4518,2016, TJ
Hydro,4264,2017, TJ
Hydro,6096,2018, TJ
Hydro,4546,2019, TJ
Hydro,3123,2020, TJ
Hydro,2945,2021, TJ
Hydro,1260,2022, TJ
Biofuels and waste,50954,2000, TJ
Biofuels and waste,51482,2001, TJ
Biofuels and waste,51971,2002, TJ
Biofuels and waste,52545,2003, TJ
Biofuels and waste,95857,2004, TJ
Biofuels and waste,90110,2005, TJ
Biofuels and waste,83814,2006, TJ
Biofuels and waste,78314,2007, TJ
Biofuels and waste,72402,2008, TJ
Biofuels and waste,65576,2009, TJ
Biofuels and waste,63188,2010, TJ
Biofuels and waste,61349,2011, TJ
Biofuels and waste,59372,2012, TJ
Biofuels and waste,57910,2013, TJ
Biofuels and waste,57213,2014, TJ
Biofuels and waste,57288,2015, TJ
Biofuels and waste,56560,2016, TJ
Biofuels and waste,55947,2017, TJ
Biofuels and waste,54523,2018, TJ
Biofuels and waste,53871,2019, TJ
Biofuels and waste,53134,2020, TJ
Biofuels and waste,53151,2021, TJ
Biofuels and waste,52850,2022, TJ
